volume_id,element_id,hsg_url,file,line,byte_offset,defect_class,what_is_wrong,corrected_encoding,evidence,adjudication,confidence
frus1943CairoTehran,ch12subsubch24,https://history.state.gov/historicaldocuments/frus1943CairoTehran/ch12subsubch24,frus1943CairoTehran.xml,71015,5635560,displaced-close-tag,"one </div> sits after the divs it should close before, so 2 divs are nested one level too deep: ch12subsubch24 (R3-session-in-session)","move the </div> at line 71095 to line 71015, immediately before <div xml:id=""ch12subsubch24"">; tag count unchanged","this shape is exceptional corpus-wide; the volume's contents does not name both headings, so the level rests on the base rate alone; repair simulated — the file still parses and the rule goes from 1 violation(s) to 0; repair simulated over the WHOLE volume — this single move takes it from 2 structural violation(s) to 0, and the file still parses",BASE-RATE,confirmed
frus1945Berlinv02,ch7subch3,https://history.state.gov/historicaldocuments/frus1945Berlinv02/ch7subch3,frus1945Berlinv02.xml,45167,3179126,R3-session-in-session,"a session inside another session: “Meeting of the Combined Chiefs of Staff, 3:30 p.m.” (ch7subch3, subchapter) sits inside “Meeting of the Joint Chiefs of Staff, 12:15 p.m.” (ch7subch2, subchapter) — and 4 further div(s) at the same level are absorbed by the same tag","move the </div> at line 47016 to line 45167, immediately before this div; tag count unchanged","the volume's own table of contents prints “Meeting of the Joint Chiefs of Staff, 12:15 p.m.” and “Meeting of the Combined Chiefs of Staff, 3:30 p.m.” at the SAME level, so the book makes them siblings while the file nests one inside the other; repair simulated — the file still parses and the rule goes from 7 violation(s) to 2",TOC-CONTRADICTS,confirmed
frus1945Berlinv02,ch9subch11,https://history.state.gov/historicaldocuments/frus1945Berlinv02/ch9subch11,frus1945Berlinv02.xml,53927,3923885,R3-session-in-session,"a session inside another session: “Tripartite dinner meeting, 8:30 p.m.” (ch9subch11, subchapter) sits inside “Seventh plenary meeting, 5 p.m.” (ch9subch10, subchapter) — and 1 further div(s) at the same level are absorbed by the same tag","move the </div> at line 54236 to line 53927, immediately before this div; tag count unchanged","this shape is exceptional corpus-wide; the volume's contents does not name both headings, so the level rests on the base rate alone; repair simulated — the file still parses and the rule goes from 7 violation(s) to 5",BASE-RATE,please-verify-against-print
frus1945Berlinv02,d710a-83,https://history.state.gov/historicaldocuments/frus1945Berlinv02/d710a-83,frus1945Berlinv02.xml,54090,3935782,R8-document-in-editorial-note,"a document inside an editorial note: “The Assistant to the Secretary of State (Bohlen) to the President” (d710a-83, document) sits inside “Tripartite dinner meeting, 8:30 p.m.” (ch9subch11, subchapter)","move the </div> at line 54173 to line 54090, immediately before this div; tag count unchanged","this shape is exceptional corpus-wide; the volume's contents does not name both headings, so the level rests on the base rate alone; repair simulated — the file still parses and the rule goes from 1 violation(s) to 0",BASE-RATE,please-verify-against-print
frus1945Berlinv02,ch10,https://history.state.gov/historicaldocuments/frus1945Berlinv02/ch10,frus1945Berlinv02.xml,54238,3948250,R1-rank,"structural rank violation: “Tuesday, July 24, 1945” (ch10, chapter) sits inside “Monday, July 23, 1945” (ch9, chapter) — and 1 further div(s) at the same level are absorbed by the same tag","move the </div> at line 58944 to line 54238, immediately before this div; tag count unchanged","this shape is exceptional corpus-wide; the volume's contents does not name both headings, so the level rests on the base rate alone; repair simulated — the file still parses and the rule goes from 1 violation(s) to 0",BASE-RATE,please-verify-against-print
frus1945Berlinv02,ch20subsubch11,https://history.state.gov/historicaldocuments/frus1945Berlinv02/ch20subsubch11,frus1945Berlinv02.xml,91911,7191205,R6-id-level,"the volume's own id grammar puts this one level up: “Reparations, restitution, and war booty” (ch20subsubch11, subchapter) sits inside “European Questions” (ch20, chapter) — and 11 further div(s) at the same level are absorbed by the same tag",review the level of this div against the printed volume,the volume's own xml:id grammar names a parent this div does not have: ch20subsubch11 belongs under a subchapter of its own chapter,INTRA-VOLUME-CONVENTION,please-verify-against-print
frus1945Malta,ch8subch22,https://history.state.gov/historicaldocuments/frus1945Malta/ch8subch22,frus1945Malta.xml,71605,5326009,displaced-close-tag,"one </div> sits after the divs it should close before, so 6 divs are nested one level too deep: ch9 (R1-rank), ch8subch23 (R2-day-in-day), ch8subch31 (R2-day-in-day), ch8subch40 (R2-day-in-day), ch8subch45 (R2-day-in-day), ch8subch22 (R3-session-in-session)","move the </div> at line 94240 to line 71605, immediately before <div xml:id=""ch8subch22"">; tag count unchanged","this shape is exceptional corpus-wide; the volume's contents does not name both headings, so the level rests on the base rate alone; repair simulated — the file still parses and the rule goes from 1 violation(s) to 0; repair simulated over the WHOLE volume — this single move takes it from 6 structural violation(s) to 0, and the file still parses",BASE-RATE,confirmed
frus1945v01,persons,https://history.state.gov/historicaldocuments/frus1945v01/persons,frus1945v01.xml,18439,1097861,R5-apparatus,"apparatus below the volume root: “List of persons” (persons, section) sits inside “Introductory note by the Editor” (ch1, chapter)",review the level of this div against the printed volume,"this shape is exceptional corpus-wide; the volume's contents does not name both headings, so the level rests on the base rate alone",BASE-RATE,please-verify-against-print
frus1947v03,ch8subch5,https://history.state.gov/historicaldocuments/frus1947v03/ch8subch5,frus1947v03.xml,66241,5271178,R7-expelled,"a subchapter with no chapter to belong to: “Germany” (ch8subch5, subchapter) sits inside “Europe:” (comp2, compilation)",review the level of this div against the printed volume,the volume's own xml:id grammar names a parent this div does not have: ch8subch5 belongs under a subchapter of its own chapter,INTRA-VOLUME-CONVENTION,please-verify-against-print
frus1947v03,ch8subch9,https://history.state.gov/historicaldocuments/frus1947v03/ch8subch9,frus1947v03.xml,77932,6224547,R7-expelled,"a subchapter with no chapter to belong to: “Netherlands:” (ch8subch9, subchapter) sits inside its parent — and 4 further div(s) at the same level are absorbed by the same tag",review the level of this div against the printed volume,the volume's own xml:id grammar names a parent this div does not have: ch8subch9 belongs under a subchapter of its own chapter,INTRA-VOLUME-CONVENTION,please-verify-against-print
frus1949v07p2,comp2,https://history.state.gov/historicaldocuments/frus1949v07p2/comp2,frus1949v07p2.xml,41483,3266066,R1-rank,"structural rank violation: “East Asian-Pacific area” (comp2, compilation) sits inside “Northeast Asia:” (comp1, compilation)","move the </div> at line 48905 to line 41483, immediately before this div; tag count unchanged","the volume's own table of contents prints “Northeast Asia:” and “East Asian-Pacific area” at the SAME level, so the book makes them siblings while the file nests one inside the other; repair simulated — the file still parses and the rule goes from 1 violation(s) to 0",TOC-CONTRADICTS,confirmed
frus1955-57v13,sources,https://history.state.gov/historicaldocuments/frus1955-57v13/sources,frus1955-57v13.xml,7128,371545,R5-apparatus,"apparatus below the volume root: “List of Unpublished Sources” (sources, section) sits inside its parent",review the level of this div against the printed volume,"this shape is exceptional corpus-wide; the volume's contents does not name both headings, so the level rests on the base rate alone",BASE-RATE,please-verify-against-print
frus1964-68v06,sources,https://history.state.gov/historicaldocuments/frus1964-68v06/sources,frus1964-68v06.xml,9035,473985,R5-apparatus,"apparatus below the volume root: “Sources” (sources, section) sits inside its parent",review the level of this div against the printed volume,"this shape is exceptional corpus-wide; the volume's contents does not name both headings, so the level rests on the base rate alone",BASE-RATE,please-verify-against-print
